file,natoms,formula,pubchem_cid,pubchem_url,status,energy_ev,ae_ev,lmdb_idx
geometries/natoms_67_cid_3497.sdf,67,C27H33N3O4,3497,https://pubchem.ncbi.nlm.nih.gov/compound/3497,ok,-41186.73849510322,-319.227915149364,37.0
geometries/natoms_68_cid_3503.sdf,68,C30H30O8,3503,https://pubchem.ncbi.nlm.nih.gov/compound/3503,ok,-47961.25225297106,-333.0511177188746,38.0
geometries/natoms_69_cid_2494.sdf,69,C27H37N3O2,2494,https://pubchem.ncbi.nlm.nih.gov/compound/2494,ok,-37156.4193370979,-318.5249386119831,39.0
geometries/natoms_70_cid_2787.sdf,70,C28H36O6,2787,https://pubchem.ncbi.nlm.nih.gov/compound/2787,ok,-41895.31305487336,-328.53502646864945,40.0
geometries/natoms_71_cid_2488.sdf,71,C28H38NO4+,2488,https://pubchem.ncbi.nlm.nih.gov/compound/2488,ok,-39319.813757537886,-324.8429986226329,41.0
geometries/natoms_72_cid_2335.sdf,72,C27H42NO2+,2335,https://pubchem.ncbi.nlm.nih.gov/compound/2335,ok,-34255.12277120338,-319.25892656014184,42.0
geometries/natoms_73_cid_5751.sdf,73,C28H44O,5751,https://pubchem.ncbi.nlm.nih.gov/compound/5751,ok,-31792.67446463679,-327.1114301305679,43.0
geometries/natoms_74_cid_2853.sdf,74,C26H37N5O6,2853,https://pubchem.ncbi.nlm.nih.gov/compound/2853,ok,-47285.99387688088,-339.6927829344422,44.0
geometries/natoms_75_cid_2697.sdf,75,C27H38N4O6,2697,https://pubchem.ncbi.nlm.nih.gov/compound/2697,ok,-46851.7461828666,-347.3505382088988,45.0
geometries/natoms_76_cid_2696.sdf,76,C27H39N5O5,2696,https://pubchem.ncbi.nlm.nih.gov/compound/2696,ok,-46311.56899748326,-350.585261466731,46.0
geometries/natoms_77_cid_2694.sdf,77,C27H39N5O6,2694,https://pubchem.ncbi.nlm.nih.gov/compound/2694,ok,-48355.715153627774,-352.7487866486481,47.0
geometries/natoms_78_cid_8223.sdf,78,C33H35N5O5,8223,https://pubchem.ncbi.nlm.nih.gov/compound/8223,ok,-52464.04029703517,-380.4612446514511,48.0
geometries/natoms_79_cid_1401.sdf,79,C28H41N7O3,1401,https://pubchem.ncbi.nlm.nih.gov/compound/1401,ok,-46264.16571493669,-360.51506339843763,49.0
geometries/natoms_80_cid_1644.sdf,80,C32H41N3O4,1644,https://pubchem.ncbi.nlm.nih.gov/compound/1644,ok,-46499.91626222549,-376.25385733680014,50.0
geometries/natoms_81_cid_2116.sdf,81,C29H50O2,2116,https://pubchem.ncbi.nlm.nih.gov/compound/2116,ok,-34976.8934818507,-358.3334628919547,51.0
geometries/natoms_82_cid_10115.sdf,82,C30H52,10115,https://pubchem.ncbi.nlm.nih.gov/compound/10115,ok,-31953.30251505115,-362.04248498490415,52.0
