file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_81_cid_693.sdf,81,C30H50O,693,https://pubchem.ncbi.nlm.nih.gov/compound/693
geometries/natoms_42_cid_698.sdf,42,C18H22O2,698,https://pubchem.ncbi.nlm.nih.gov/compound/698
geometries/natoms_43_cid_720.sdf,43,C12H22N2O7,720,https://pubchem.ncbi.nlm.nih.gov/compound/720
geometries/natoms_33_cid_765.sdf,33,C10H13N5O5,765,https://pubchem.ncbi.nlm.nih.gov/compound/765
geometries/natoms_53_cid_826.sdf,53,C15H26N4O8,826,https://pubchem.ncbi.nlm.nih.gov/compound/826
geometries/natoms_38_cid_828.sdf,38,C10H18N4O6,828,https://pubchem.ncbi.nlm.nih.gov/compound/828
geometries/natoms_38_cid_858.sdf,38,C16H20O2,858,https://pubchem.ncbi.nlm.nih.gov/compound/858
geometries/natoms_50_cid_860.sdf,50,C18H30O2,860,https://pubchem.ncbi.nlm.nih.gov/compound/860
geometries/natoms_56_cid_884.sdf,56,C20H23N7O6,884,https://pubchem.ncbi.nlm.nih.gov/compound/884
geometries/natoms_41_cid_895.sdf,41,C12H24N2O3,895,https://pubchem.ncbi.nlm.nih.gov/compound/895
geometries/natoms_35_cid_915.sdf,35,C11H15NO8,915,https://pubchem.ncbi.nlm.nih.gov/compound/915
geometries/natoms_45_cid_916.sdf,45,C12H28N4O,916,https://pubchem.ncbi.nlm.nih.gov/compound/916
geometries/natoms_54_cid_965.sdf,54,C18H34O2,965,https://pubchem.ncbi.nlm.nih.gov/compound/965
geometries/natoms_49_cid_984.sdf,49,C16H32O,984,https://pubchem.ncbi.nlm.nih.gov/compound/984
geometries/natoms_50_cid_985.sdf,50,C16H32O2,985,https://pubchem.ncbi.nlm.nih.gov/compound/985
geometries/natoms_40_cid_1022.sdf,40,C20H16N4,1022,https://pubchem.ncbi.nlm.nih.gov/compound/1022
geometries/natoms_78_cid_1040.sdf,78,C34H36N4O4,1040,https://pubchem.ncbi.nlm.nih.gov/compound/1040
geometries/natoms_51_cid_1062.sdf,51,C19H28O4,1062,https://pubchem.ncbi.nlm.nih.gov/compound/1062
geometries/natoms_48_cid_1065.sdf,48,C20H24N2O2,1065,https://pubchem.ncbi.nlm.nih.gov/compound/1065
geometries/natoms_49_cid_1070.sdf,49,C20H28O,1070,https://pubchem.ncbi.nlm.nih.gov/compound/1070
geometries/natoms_51_cid_1071.sdf,51,C20H30O,1071,https://pubchem.ncbi.nlm.nih.gov/compound/1071
geometries/natoms_47_cid_1072.sdf,47,C17H20N4O6,1072,https://pubchem.ncbi.nlm.nih.gov/compound/1072
