sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,65.73072052001953,575.901184,12607.63671875,420.25457763671875,0.1641951948404312,0.05722340568900108,0.0,5.288182819640497e-06,0.18388456106185913,8,0,0,0,1,9,0,0,0,1,0,"tensor(0.0946, dtype=torch.float64)","tensor(0.3319, dtype=torch.float64)","tensor(0.0470, dtype=torch.float64)","tensor(0.9930, dtype=torch.float64)","tensor(0.6846, dtype=torch.float64)",185.30438360349177,
1,22,67.42118072509766,471.323136,10897.5673828125,495.343994140625,0.07853547483682632,0.06211865693330765,0.0,2.7629250325844623e-05,0.13941243290901184,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0375, dtype=torch.float64)","tensor(0.1791, dtype=torch.float64)","tensor(0.0132, dtype=torch.float64)","tensor(0.9917, dtype=torch.float64)","tensor(0.9902, dtype=torch.float64)",109.6443274802125,
2,17,62.895103454589844,420.23424,8323.0751953125,489.5926513671875,0.052789609879255295,0.055853698402643204,0.0,4.8154412070289254e-05,0.09921446442604065,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.0359, dtype=torch.float64)","tensor(0.0327, dtype=torch.float64)","tensor(0.0070, dtype=torch.float64)","tensor(0.9878, dtype=torch.float64)","tensor(0.7967, dtype=torch.float64)",54.50087323466573,
3,26,62.90227127075195,518.880768,10964.607421875,421.7156982421875,0.03316284716129303,0.02585364133119583,0.0,1.6137091733980924e-05,0.066398024559021,8,0,0,0,1,8,0,0,0,1,1,"tensor(0.0382, dtype=torch.float64)","tensor(0.2676, dtype=torch.float64)","tensor(0.0095, dtype=torch.float64)","tensor(0.9985, dtype=torch.float64)","tensor(0.8584, dtype=torch.float64)",189.8127165059587,
4,17,62.487552642822266,420.261376,12381.9931640625,728.3525390625,0.03149225935339928,0.04922928288578987,0.0,6.393260264303535e-05,0.1064934954047203,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0348, dtype=torch.float64)","tensor(0.0282, dtype=torch.float64)","tensor(0.0479, dtype=torch.float64)","tensor(0.0933, dtype=torch.float64)","tensor(0.0788, dtype=torch.float64)",105.6321714268765,
5,19,55.925758361816406,439.655936,8356.5478515625,439.81829833984375,0.05445694550871849,0.06126771867275238,0.0,5.4573207307839766e-05,0.16294924914836884,5,0,0,0,1,5,0,0,0,1,1,"tensor(0.0448, dtype=torch.float64)","tensor(0.1100, dtype=torch.float64)","tensor(0.0572, dtype=torch.float64)","tensor(0.9969, dtype=torch.float64)","tensor(0.9932, dtype=torch.float64)",213.88867111679383,
6,19,47.28422546386719,439.666176,9263.6015625,487.5579833984375,0.039286255836486816,0.038471538573503494,0.0,9.040585609909613e-06,0.09090380370616913,4,0,0,0,1,3,0,0,0,1,0,"tensor(0.0488, dtype=torch.float64)","tensor(0.0362, dtype=torch.float64)","tensor(0.0111, dtype=torch.float64)","tensor(0.9748, dtype=torch.float64)","tensor(0.6710, dtype=torch.float64)",191.6106079991325,
7,18,45.279296875,427.698176,10265.7041015625,570.31689453125,0.06835398077964783,0.06041152402758598,0.0,2.0224943000357598e-05,0.11680679768323898,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0478, dtype=torch.float64)","tensor(0.0121, dtype=torch.float64)","tensor(0.0789, dtype=torch.float64)","tensor(0.9900, dtype=torch.float64)","tensor(0.9369, dtype=torch.float64)",88.50549440410482,
8,18,45.711265563964844,427.692032,11945.1962890625,663.6220092773438,0.021604668349027634,0.034528542309999466,0.0,3.451583324931562e-05,0.07136550545692444,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0199, dtype=torch.float64)","tensor(0.0237, dtype=torch.float64)","tensor(0.0049, dtype=torch.float64)","tensor(0.9564, dtype=torch.float64)","tensor(0.9548, dtype=torch.float64)",60.91510491851736,
9,17,44.068031311035156,420.209152,8426.5,495.6764831542969,0.09538903087377548,0.09731830656528473,0.0,2.4979570298455656e-05,0.1966569423675537,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.0605, dtype=torch.float64)","tensor(0.1301, dtype=torch.float64)","tensor(0.0955, dtype=torch.float64)","tensor(0.9507, dtype=torch.float64)","tensor(0.6827, dtype=torch.float64)",258.96945043894664,
