sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,66.11865234375,575.901184,12607.63671875,420.25457763671875,0.1641951948404312,0.05622141435742378,0.0,5.288182819640497e-06,0.1806710958480835,8,0,0,0,1,8,0,0,0,1,1,"tensor(0.0889, dtype=torch.float64)","tensor(0.1209, dtype=torch.float64)","tensor(0.0386, dtype=torch.float64)","tensor(0.9905, dtype=torch.float64)","tensor(0.3127, dtype=torch.float64)",95.57010204418273,
1,22,68.78514862060547,471.323136,10897.5673828125,495.343994140625,0.07853548973798752,0.05527869611978531,0.0,2.7629250325844623e-05,0.18631736934185028,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.0363, dtype=torch.float64)","tensor(0.1416, dtype=torch.float64)","tensor(0.0546, dtype=torch.float64)","tensor(0.9961, dtype=torch.float64)","tensor(0.9519, dtype=torch.float64)",104.7188820778319,
2,17,63.736671447753906,420.23424,8323.0751953125,489.5926513671875,0.052789587527513504,0.04708436504006386,0.0,4.8154412070289254e-05,0.131185382604599,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0342, dtype=torch.float64)","tensor(0.0419, dtype=torch.float64)","tensor(0.0020, dtype=torch.float64)","tensor(0.9362, dtype=torch.float64)","tensor(0.9236, dtype=torch.float64)",81.42714984133097,
3,26,63.65510559082031,518.880768,10964.607421875,421.7156982421875,0.033162862062454224,0.020744839683175087,0.0,1.6137091733980924e-05,0.06646052747964859,8,0,0,0,1,9,0,0,0,1,0,"tensor(0.0336, dtype=torch.float64)","tensor(0.5499, dtype=torch.float64)","tensor(0.0156, dtype=torch.float64)","tensor(0.9988, dtype=torch.float64)","tensor(0.6440, dtype=torch.float64)",116.16334655974742,
4,17,62.84921646118164,420.261376,12381.9931640625,728.3525390625,0.03149227797985077,0.03919714689254761,0.0,6.393260264303535e-05,0.09928485006093979,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0275, dtype=torch.float64)","tensor(0.0450, dtype=torch.float64)","tensor(0.0368, dtype=torch.float64)","tensor(0.8317, dtype=torch.float64)","tensor(0.8342, dtype=torch.float64)",73.07565003953368,
5,19,55.04003143310547,439.655936,8356.5478515625,439.81829833984375,0.054456956684589386,0.05539856106042862,0.0,5.4573207307839766e-05,0.16619309782981873,5,0,0,0,1,5,0,0,0,1,1,"tensor(0.0440, dtype=torch.float64)","tensor(0.1507, dtype=torch.float64)","tensor(0.0039, dtype=torch.float64)","tensor(0.9987, dtype=torch.float64)","tensor(0.9975, dtype=torch.float64)",174.4112087474039,
6,19,47.2545280456543,439.666176,9263.6015625,487.5579833984375,0.039286255836486816,0.03116028569638729,0.0,9.040585609909613e-06,0.0780743807554245,4,0,0,0,1,4,0,0,0,1,1,"tensor(0.0264, dtype=torch.float64)","tensor(0.0069, dtype=torch.float64)","tensor(0.0038, dtype=torch.float64)","tensor(0.9815, dtype=torch.float64)","tensor(0.4533, dtype=torch.float64)",88.83309670093706,
7,18,45.83555221557617,427.698176,10265.7041015625,570.31689453125,0.06835399568080902,0.0579678900539875,0.0,2.0224943000357598e-05,0.14328613877296448,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0493, dtype=torch.float64)","tensor(0.1346, dtype=torch.float64)","tensor(0.1154, dtype=torch.float64)","tensor(0.9883, dtype=torch.float64)","tensor(0.9739, dtype=torch.float64)",187.550076338009,
8,18,46.09638214111328,427.692032,11945.1962890625,663.6220092773438,0.021604690700769424,0.0279247909784317,0.0,3.451583324931562e-05,0.07358387857675552,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0122, dtype=torch.float64)","tensor(0.0049, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)","tensor(0.9723, dtype=torch.float64)","tensor(0.9718, dtype=torch.float64)",57.881843363370734,
9,17,44.54092788696289,420.209152,8426.5,495.6764831542969,0.09538903087377548,0.10614185780286789,0.0,2.4979570298455656e-05,0.2714107036590576,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0630, dtype=torch.float64)","tensor(0.0783, dtype=torch.float64)","tensor(0.0013, dtype=torch.float64)","tensor(0.8757, dtype=torch.float64)","tensor(0.8395, dtype=torch.float64)",255.3770264613613,
10,18,46.19571304321289,427.687936,8896.939453125,494.2744140625,0.0482393279671669,0.043628063052892685,0.0,1.6238285752478987e-05,0.10722563415765762,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.0429, dtype=torch.float64)","tensor(0.0192, dtype=torch.float64)","tensor(0.0993, dtype=torch.float64)","tensor(0.9596, dtype=torch.float64)","tensor(0.9570, dtype=torch.float64)",54.784274369171385,
11,16,43.31612777709961,409.934848,12356.7412109375,772.2963256835938,0.2671315371990204,0.29847225546836853,0.0,0.00015020983119029552,0.9949230551719666,3,0,0,0,1,1,1,0,0,0,0,"tensor(0.1163, dtype=torch.float64)","tensor(2.5662, dtype=torch.float64)","tensor(0.1804, dtype=torch.float64)","tensor(0.9857, dtype=torch.float64)","tensor(0.4724, dtype=torch.float64)",256.9374612973214,
12,14,42.72537612915039,395.309568,9736.935546875,695.4954223632812,0.06260855495929718,0.07508590817451477,0.0,6.798732647439465e-05,0.16169068217277527,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0405, dtype=torch.float64)","tensor(0.2026, dtype=torch.float64)","tensor(0.0076, dtype=torch.float64)","tensor(0.9943, dtype=torch.float64)","tensor(0.9779, dtype=torch.float64)",90.8006556208808,
13,12,41.588417053222656,382.464512,8231.25390625,685.9378662109375,0.027104264125227928,0.04362312704324722,0.0,4.218440517433919e-05,0.10005611181259155,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0236, dtype=torch.float64)","tensor(0.0091, dtype=torch.float64)","tensor(0.0137, dtype=torch.float64)","tensor(0.9558, dtype=torch.float64)","tensor(0.7486, dtype=torch.float64)",155.90885267072875,
14,21,49.43155288696289,460.478464,10427.419921875,496.5438232421875,0.05646149814128876,0.04259275272488594,0.0,8.61528951645596e-06,0.08408608287572861,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0226, dtype=torch.float64)","tensor(0.0563, dtype=torch.float64)","tensor(0.0101, dtype=torch.float64)","tensor(0.9961, dtype=torch.float64)","tensor(0.9945, dtype=torch.float64)",63.387067471085174,
15,17,44.93312072753906,420.228096,11713.2626953125,689.0154418945312,0.15270164608955383,0.07733219116926193,0.0,5.1103110308758914e-05,0.1561398059129715,4,0,0,0,1,3,0,0,0,1,0,"tensor(0.0420, dtype=torch.float64)","tensor(0.0056, dtype=torch.float64)","tensor(0.0136, dtype=torch.float64)","tensor(0.9459, dtype=torch.float64)","tensor(0.8461, dtype=torch.float64)",214.13629466640245,
16,20,48.35001754760742,447.18592,12885.7578125,644.2879028320312,0.270812451839447,0.0575496144592762,0.0,2.2850521418149583e-05,0.24917049705982208,6,0,0,0,1,5,0,0,0,1,0,"tensor(0.0541, dtype=torch.float64)","tensor(0.0037, dtype=torch.float64)","tensor(0.0597, dtype=torch.float64)","tensor(0.9543, dtype=torch.float64)","tensor(0.9830, dtype=torch.float64)",86.48526679392222,
17,27,59.8364143371582,534.472704,12000.2744140625,444.4546203613281,0.05005945265293121,0.0295544620603323,0.0,9.08245419850573e-06,0.11885327845811844,5,0,0,0,1,4,0,0,0,1,0,"tensor(0.0359, dtype=torch.float64)","tensor(0.0189, dtype=torch.float64)","tensor(0.0867, dtype=torch.float64)","tensor(0.9962, dtype=torch.float64)","tensor(0.2643, dtype=torch.float64)",141.06747620658246,
18,23,69.72723388671875,481.424896,11471.78125,498.7731018066406,0.045097533613443375,0.026337100192904472,0.0,1.2137914382037707e-05,0.08989761024713516,5,0,0,0,1,6,0,0,0,1,0,"tensor(0.0277, dtype=torch.float64)","tensor(0.0442, dtype=torch.float64)","tensor(0.0046, dtype=torch.float64)","tensor(0.9963, dtype=torch.float64)","tensor(0.9939, dtype=torch.float64)",100.8192875766669,
19,22,68.03456115722656,469.499392,14495.26171875,658.8755493164062,0.0402599535882473,0.02166551910340786,0.0,3.070354796363972e-05,0.05403947830200195,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.0152, dtype=torch.float64)","tensor(0.0261, dtype=torch.float64)","tensor(0.0292, dtype=torch.float64)","tensor(0.9928, dtype=torch.float64)","tensor(0.1533, dtype=torch.float64)",62.28168501587742,
20,18,63.76652908325195,427.71712,8793.3623046875,488.5201416015625,0.03896787390112877,0.03861178457736969,0.0,1.572149085404817e-05,0.07819989323616028,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0303, dtype=torch.float64)","tensor(0.0184, dtype=torch.float64)","tensor(0.0130, dtype=torch.float64)","tensor(0.9864, dtype=torch.float64)","tensor(0.9868, dtype=torch.float64)",143.49878738535395,
21,16,51.11721420288086,409.934848,9873.8681640625,617.1167602539062,0.14237916469573975,0.09285721927881241,0.0,0.0001493035233579576,0.3927730321884155,6,0,0,0,1,6,0,0,0,1,1,"tensor(0.0753, dtype=torch.float64)","tensor(0.4213, dtype=torch.float64)","tensor(0.1084, dtype=torch.float64)","tensor(0.9729, dtype=torch.float64)","tensor(0.9042, dtype=torch.float64)",365.085145519714,
22,14,43.100929260253906,395.309568,12888.982421875,920.6416625976562,0.04301266744732857,0.05799274146556854,0.0,7.61206028982997e-05,0.11390227824449539,0,1,0,0,0,0,0,1,0,0,1,"tensor(0.0163, dtype=torch.float64)","tensor(0.0025, dtype=torch.float64)","tensor(0.0013, dtype=torch.float64)","tensor(0.9914, dtype=torch.float64)","tensor(0.9920, dtype=torch.float64)",29.070117529310913,
23,21,49.90873718261719,460.484608,12345.2763671875,587.8703002929688,0.028993817046284676,0.02234504371881485,0.0,1.4226348866941407e-05,0.05140691623091698,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0163, dtype=torch.float64)","tensor(0.0041, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)","tensor(0.9832, dtype=torch.float64)","tensor(0.6854, dtype=torch.float64)",79.9892111151866,
24,16,43.33158493041992,409.953792,8759.8388671875,547.4899291992188,0.01949952356517315,0.020702937617897987,0.0,2.9000919312238693e-05,0.048499077558517456,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.0131, dtype=torch.float64)","tensor(0.0086, dtype=torch.float64)","tensor(7.6356e-05, dtype=torch.float64)","tensor(0.9859, dtype=torch.float64)","tensor(0.9854, dtype=torch.float64)",51.22260412545894,
25,25,56.179744720458984,506.064384,11401.4697265625,456.05877685546875,0.02438904531300068,0.01482271309942007,0.0,1.2798864190699533e-05,0.04725373163819313,5,0,0,0,1,6,0,0,0,1,0,"tensor(0.0155, dtype=torch.float64)","tensor(0.0180, dtype=torch.float64)","tensor(0.0002, dtype=torch.float64)","tensor(0.9899, dtype=torch.float64)","tensor(0.9905, dtype=torch.float64)",38.16011567770015,
26,23,69.106689453125,481.408,10564.408203125,459.3221130371094,0.010866471566259861,0.01397249847650528,0.0,1.0088457202073187e-05,0.038869451731443405,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.0102, dtype=torch.float64)","tensor(0.0036, dtype=torch.float64)","tensor(0.0038, dtype=torch.float64)","tensor(0.9959, dtype=torch.float64)","tensor(0.9848, dtype=torch.float64)",44.21567402312369,
27,7,58.83903884887695,359.99488,5552.8330078125,793.2619018554688,0.11897964030504227,0.1332990974187851,0.0,0.0003042869793716818,0.2881828844547272,1,0,1,0,0,1,1,0,0,0,1,"tensor(0.0541, dtype=torch.float64)","tensor(0.0368, dtype=torch.float64)","tensor(0.0115, dtype=torch.float64)","tensor(0.9840, dtype=torch.float64)","tensor(0.9832, dtype=torch.float64)",73.69631285885134,
28,17,52.609344482421875,420.169216,7861.48779296875,462.4404602050781,0.021367168053984642,0.013998545706272125,0.0,5.621745003736578e-06,0.042324043810367584,1,0,1,0,0,1,1,0,0,0,1,"tensor(0.0115, dtype=torch.float64)","tensor(0.0200, dtype=torch.float64)","tensor(0.0116, dtype=torch.float64)","tensor(0.9987, dtype=torch.float64)","tensor(0.9961, dtype=torch.float64)",47.7866418347046,
