"Name","hessian_method","checkpoint","max_samples","time_incltransform","time","Runtime","State","Notes","Tags","Created","dataset","model_name","asymmetry_mae","eigval1_mae","eigval2_mae","eigval_mae","eigvec1_cos","eigvec1_mae","eigvec2_cos","eigvec2_mae","energy_mae","forces_mae","hessian_mae","is_ts_agree","model_is_ts","neg_num_agree","true_asymmetry_mae","true_is_ts","eigval1_mae_eckart","eigval2_mae_eckart","eigval_mae_eckart","eigvec1_cos_eckart","eigvec1_mae_eckart","eigvec2_cos_eckart","eigvec2_mae_eckart","true_neg_num","memory"
"MSE","predict","ckpt/eq_l1_mse.ckpt","1000","45.12395703125","38.71952450561523","48","finished","-","hormmetrics","2025-09-22T15:53:02.000Z","ts1x-val.lmdb","EquiformerV2","0","0.1681415858026594","0.08788554595783353","0.07189866494853049","0.7279815807528793","0.1065649558500154","0.4907268959954381","0.16090032763872297","0.020264897379092872","0.015941295463126153","0.032644387821201236","0.888","0.451","0.863","0.00004954419763043916","0.441","0.03708101725988139","0.01324377901866296","0.020753449278904608","0.958534051436454","0.06897099231554245","0.9274814215339132","0.08850717747410417","0.889","393.163868672"
"MAE","predict","ckpt/eq_l1_mae.ckpt","1000","44.9104296875","38.58302719497681","48","finished","-","hormmetrics","2025-09-22T15:43:42.000Z","ts1x-val.lmdb","EquiformerV2","0","0.1268846789901145","0.05150855344370939","0.0568857781724073","0.8246394190806895","0.08863896008115262","0.583173640341498","0.14831768293003553","0.020264902049675584","0.015941295959986748","0.02551081538875587","0.93","0.451","0.911","0.00004954419763043916","0.441","0.03129946139128083","0.011992359020965083","0.01571827924676205","0.9759861447088538","0.05813435496472388","0.952389116361754","0.07683640753280195","0.889","393.163868672"
"MAE+Sub","predict","ckpt/eq_l1_luca8mae.ckpt","1000","46.95241796875","38.466082817077634","49","finished","-","hormmetrics","2025-09-22T15:34:25.000Z","ts1x-val.lmdb","EquiformerV2","0","0.13027315290737898","0.029954692294239065","0.06251698484551162","0.8699371047578752","0.08733856118971016","0.6516887691114098","0.1421756912311539","0.020264897409826517","0.01594129485648591","0.03027854798943736","0.935","0.448","0.919","0.00004954419763043916","0.441","0.03138629511673056","0.010093076936926765","0.018149024253025208","0.9803668360517622","0.06104037709981883","0.9570998955778276","0.07455876827614344","0.889","393.163868672"
