n_atoms,method,time,memory
4,prediction,31.508703231811523,246.061568
4,autograd,161.24073791503906,291.160576
4,prediction,30.064640045166016,244.724736
4,autograd,160.39013671875,291.160576
4,prediction,29.96713638305664,244.724736
4,autograd,160.76698303222656,291.160576
5,prediction,30.16387176513672,246.844928
5,autograd,195.80316162109375,304.196096
5,prediction,30.041088104248047,246.844928
5,autograd,197.09036254882812,304.196096
5,prediction,30.1779842376709,246.844928
5,autograd,195.7868194580078,304.196096
5,prediction,30.097631454467773,246.844928
5,autograd,195.7162628173828,304.196096
5,prediction,30.686208724975586,246.844928
5,autograd,196.41241455078125,304.196096
5,prediction,30.228479385375977,246.844928
5,autograd,196.32325744628906,304.196096
5,prediction,30.539871215820312,246.844928
5,autograd,199.68185424804688,304.196096
5,prediction,30.461952209472656,246.844928
5,autograd,197.2111358642578,304.196096
5,prediction,30.056320190429688,246.844928
5,autograd,196.42857360839844,304.196096
6,prediction,30.520160675048828,249.49248
6,autograd,231.61053466796875,319.276032
6,prediction,30.347423553466797,249.49248
6,autograd,228.06118774414062,319.276032
6,prediction,29.443071365356445,249.49248
6,autograd,232.586181640625,319.276032
6,prediction,29.717504501342773,249.49248
6,autograd,226.24557495117188,319.276032
6,prediction,29.490175247192383,249.49248
6,autograd,226.22303771972656,319.276032
6,prediction,30.473344802856445,249.49248
6,autograd,226.1800994873047,319.276032
6,prediction,29.873088836669922,249.49248
6,autograd,226.86495971679688,319.276032
6,prediction,29.97657585144043,249.49248
6,autograd,222.1800994873047,319.276032
6,prediction,29.434688568115234,249.49248
6,autograd,222.41587829589844,319.276032
6,prediction,29.971712112426758,249.49248
6,autograd,223.49081420898438,319.276032
7,prediction,30.233312606811523,253.00736
7,autograd,255.2441864013672,338.648576
7,prediction,29.848512649536133,253.00736
7,autograd,255.0794219970703,338.648576
7,prediction,30.803808212280273,253.00736
7,autograd,256.7301025390625,338.648576
7,prediction,29.56268882751465,253.00736
7,autograd,255.2156219482422,338.648576
7,prediction,30.252031326293945,253.00736
7,autograd,256.0184326171875,338.648576
7,prediction,29.8832950592041,253.00736
7,autograd,256.16180419921875,338.648576
7,prediction,30.095359802246094,253.00736
7,autograd,255.71328735351562,338.648576
7,prediction,31.37126350402832,253.00736
7,autograd,256.7413635253906,338.648576
7,prediction,30.366880416870117,253.00736
7,autograd,261.1210021972656,338.648576
7,prediction,30.438400268554688,253.00736
7,autograd,263.58599853515625,338.648576
8,prediction,30.92608070373535,257.355776
8,autograd,297.30914306640625,359.643648
8,prediction,30.589984893798828,257.355776
8,autograd,300.42010498046875,359.643648
8,prediction,30.817279815673828,257.355776
8,autograd,296.66302490234375,359.643648
8,prediction,30.666688919067383,257.355776
8,autograd,313.0285949707031,359.643648
8,prediction,31.40096092224121,257.355776
8,autograd,301.72442626953125,359.643648
8,prediction,30.76416015625,257.355776
8,autograd,300.13848876953125,359.643648
8,prediction,31.159168243408203,257.355776
8,autograd,299.7924499511719,359.643648
8,prediction,30.785600662231445,257.355776
8,autograd,300.97845458984375,359.643648
8,prediction,30.718975067138672,257.355776
8,autograd,298.6588134765625,359.643648
8,prediction,30.749696731567383,257.355776
8,autograd,299.5384216308594,359.643648
9,prediction,33.79609680175781,260.576256
9,autograd,335.7225036621094,378.831872
9,prediction,31.481855392456055,260.576256
9,autograd,336.1809387207031,378.831872
9,prediction,31.665056228637695,260.576256
9,autograd,329.8672790527344,378.831872
9,prediction,30.69468879699707,260.576256
9,autograd,333.51446533203125,378.831872
9,prediction,30.87785530090332,260.576256
9,autograd,326.7860412597656,378.831872
9,prediction,30.451711654663086,260.576256
9,autograd,326.5710144042969,378.831872
9,prediction,31.830080032348633,260.576256
9,autograd,329.6408996582031,378.831872
9,prediction,30.57753562927246,260.576256
9,autograd,326.58642578125,378.831872
9,prediction,30.502912521362305,260.576256
9,autograd,326.4928894042969,378.831872
9,prediction,30.57734489440918,260.576256
9,autograd,327.43218994140625,378.831872
10,prediction,30.98204803466797,265.743872
10,autograd,364.2133483886719,407.958528
10,prediction,30.734464645385742,265.743872
10,autograd,360.7339172363281,407.958528
10,prediction,30.913471221923828,265.743872
10,autograd,360.5739440917969,407.958528
10,prediction,30.66655921936035,265.743872
10,autograd,365.86187744140625,407.958528
10,prediction,31.00774383544922,265.743872
10,autograd,367.95904541015625,407.958528
10,prediction,31.756479263305664,265.743872
10,autograd,370.5384826660156,407.958528
10,prediction,31.94495964050293,265.743872
10,autograd,371.38238525390625,407.958528
10,prediction,31.792224884033203,265.743872
10,autograd,371.67205810546875,407.958528
10,prediction,31.918048858642578,265.743872
10,autograd,372.41546630859375,407.958528
10,prediction,31.67046356201172,265.743872
10,autograd,371.6024169921875,407.958528
11,prediction,33.17865753173828,270.583808
11,autograd,405.93408203125,434.083328
11,prediction,31.98431968688965,270.583808
11,autograd,403.70074462890625,434.083328
11,prediction,32.19353485107422,270.583808
11,autograd,406.37860107421875,434.083328
11,prediction,33.9681282043457,270.583808
11,autograd,405.08416748046875,434.083328
11,prediction,32.325374603271484,270.583808
11,autograd,434.4217529296875,434.083328
11,prediction,32.23212814331055,270.583808
11,autograd,400.6592712402344,434.083328
11,prediction,31.61680030822754,270.583808
11,autograd,399.04345703125,434.083328
11,prediction,31.41119956970215,270.583808
11,autograd,394.740478515625,434.083328
11,prediction,31.298559188842773,270.583808
11,autograd,397.1611633300781,434.083328
11,prediction,31.551424026489258,270.583808
11,autograd,394.6250305175781,434.083328
12,prediction,32.60745620727539,276.69504
12,autograd,426.9710388183594,463.357952
12,prediction,32.01536178588867,276.69504
